NamaMobil,Harga,url
Fiat 500C MHEV ,"€ 324,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/fiat/500c-mhev
Mazda 2 MHEV ,"€ 334,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mazda/2-mhev
Citroen C3 ,"€ 339,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/citroen/c3
Mitsubishi Colt ,"€ 339,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mitsubishi/colt
Renault Twingo Elektrisch ,"€ 339,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/renault/twingo-ev
Skoda Fabia ,"€ 349,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/skoda/fabia
Renault Clio ,"€ 354,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/renault/clio
Volkswagen Polo ,"€ 359,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=G465KP&condition=occasion
Peugeot 208 ,"€ 359,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/208
Fiat 500e Elektrisch ,"€ 359,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/fiat/500e-ev
Dacia Sandero Stepway ,"€ 359,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/dacia/sandero-stepway
Seat Ibiza ,"€ 359,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/seat/ibiza
Hyundai i30 MHEV ,"€ 369,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=N012NL&condition=occasion
Opel Corsa ,"€ 369,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/opel/corsa
Toyota Yaris ,"€ 374,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/toyota/yaris
Opel Corsa ,"€ 379,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=K493HF&condition=occasion
Kia Rio MHEV ,"€ 379,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=N489BP&condition=occasion
Toyota Yaris Hybrid ,"€ 384,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/toyota/yaris-hybrid
Renault Clio Hybrid ,"€ 384,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/renault/clio-hybrid
Mazda 2 Hybrid ,"€ 389,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mazda/2-hybrid
Kia Stonic MHEV ,"€ 399,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/kia/stonic-mhev
Dacia Jogger ,"€ 399,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/dacia/jogger
Volkswagen Polo ,"€ 399,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volkswagen/polo
BYD Dolphin Elektrisch ,"€ 399,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/byd/dolphin-ev
Fiat 500e Elektrisch ,"€ 399,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/fiat/500e-ev
Peugeot 208 MHEV ,"€ 404,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/208-mhev
Hyundai i30 MHEV ,"€ 409,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/i30-mhev
Mazda Mazda3 ,"€ 414,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=J200LR&condition=occasion
Renault Captur ,"€ 414,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/renault/captur
Seat Arona ,"€ 414,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/seat/arona
Opel Astra Sports Tourer ,"€ 419,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=K300BR&condition=occasion
Ford Fiesta ,"€ 419,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=K795JT&condition=occasion
Audi A3 Limousine ,"€ 419,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=J459LJ&condition=occasion
Opel Crossland ,"€ 419,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=N396ZN&condition=occasion
Opel Mokka-e Elektrisch ,"€ 419,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=P532VN&condition=occasion
Nissan Juke ,"€ 419,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/nissan/juke
Dacia Duster ,"€ 419,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/dacia/duster
Mitsubishi Colt Hybrid ,"€ 419,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mitsubishi/colt-hybrid
Citroen C3 Aircross ,"€ 419,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/citroen/c3-aircross
Audi A1 Sportback ,"€ 419,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/audi/a1-sportback
Opel Crossland ,"€ 424,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/opel/crossland
Opel Crossland X ,"€ 429,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=J289RT&condition=occasion
Ford EcoSport ,"€ 429,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=G529TK&condition=occasion
Nissan Juke ,"€ 429,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=S817BG&condition=occasion
Mercedes-Benz A-klasse ,"€ 429,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=L164RR&condition=occasion
Opel Corsa-e Elektrisch ,"€ 429,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=T492ZF&condition=occasion
Mini Cooper ,"€ 429,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mini/cooper
Skoda Scala ,"€ 429,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/skoda/scala
Hyundai KONA Elektrisch ,"€ 434,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/productgroep=hyundai_kona_elektriciteit
Opel Mokka ,"€ 434,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/opel/mokka
Kia Niro Elektrisch ,"€ 439,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/productgroep=kia_niro_elektriciteit
Citroen C4 ,"€ 439,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/citroen/c4
Opel Corsa Electric Elektrisch ,"€ 439,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/opel/corsa-electric-ev
Toyota Yaris Cross ,"€ 439,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/toyota/yaris-cross
Hyundai i30 Wagon MHEV ,"€ 444,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/i30-wagon-mhev
Citroen C4 X ,"€ 444,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/citroen/c4-x
MG 4 Elektrisch ,"€ 444,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mg/4-ev
Mazda CX-30 MHEV ,"€ 449,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=L421NR&condition=occasion
Opel Grandland X ,"€ 449,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=ZT619X&condition=occasion
Ford Focus MHEV ,"€ 449,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/ford/focus-mhev
Peugeot e-208 Elektrisch ,"€ 454,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/e-208-ev
Toyota Yaris Cross Hybrid ,"€ 454,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/toyota/yaris-cross-hybrid
Nissan QASHQAI MHEV ,"€ 459,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/productgroep=nissan_qashqai_benzine
Opel Astra ,"€ 459,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/opel/astra
Opel Mokka Electric Elektrisch ,"€ 459,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/opel/mokka-electric-ev
Fiat 600e Elektrisch ,"€ 459,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/fiat/600e-ev
Mazda 3 sedan MHEV ,"€ 459,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mazda/3-sedan-mhev
Toyota Corolla Hybrid ,"€ 459,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/toyota/corolla-hybrid
Renault Captur Hybrid ,"€ 459,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/renault/captur-hybrid
Honda Jazz Hybrid ,"€ 459,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/honda/jazz-hybrid
Seat Leon ,"€ 459,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/seat/leon
Mitsubishi ASX MHEV ,"€ 459,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mitsubishi/asx-mhev
Mazda 3 hatchback MHEV ,"€ 464,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mazda/3-hatchback-mhev
Peugeot 508 ,"€ 469,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=H600KK&condition=occasion
Dacia Jogger Hybrid ,"€ 469,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/dacia/jogger-hybrid
Nissan Juke Hybrid ,"€ 469,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/nissan/juke-hybrid
Ford Focus Wagon MHEV ,"€ 469,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/ford/focus-wagon-mhev
MG ZS Elektrisch ,"€ 469,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mg/zs-ev
Nissan Leaf Elektrisch ,"€ 469,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/nissan/leaf-ev
Volkswagen Taigo ,"€ 474,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volkswagen/taigo
Seat Leon Sportstourer ,"€ 474,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/seat/leon-sportstourer
Ford Mondeo Hybrid ,"€ 479,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/productgroep=ford_mondeo_hybride-benzine
Ford Puma Hybrid ,"€ 479,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=K618ZT&condition=occasion
Mazda MX-30 Elektrisch ,"€ 479,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mazda/mx-30-ev
Seat Ateca ,"€ 479,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/seat/ateca
Tesla Model 3 Elektrisch ,"€ 484,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=XT216X&condition=occasion
Peugeot 308 ,"€ 484,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/308
Opel Astra Sports Tourer ,"€ 484,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/opel/astra-sports-tourer
Hyundai KONA Hybrid ,"€ 484,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/kona-hybrid
MG 5 Elektrisch ,"€ 484,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mg/5-ev
Mitsubishi ASX Hybrid ,"€ 484,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mitsubishi/asx-hybrid
Jeep Avenger Elektrisch ,"€ 489,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/jeep/avenger-ev
Hyundai Tucson Hybrid ,"€ 499,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/productgroep=hyundai_tucson_hybride-benzine
Opel Astra Electric Elektrisch ,"€ 499,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/opel/astra-electric-ev
Toyota Corolla Touring Sports Hybrid ,"€ 499,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/toyota/corolla-touring-sports-hybrid
Renault Megane E-TECH Elektrisch ,"€ 499,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/renault/megane-e-tech-ev
Volvo EX30 Elektrisch ,"€ 499,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volvo/ex30-ev
Audi A3 Limousine MHEV ,"€ 504,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/audi/a3-limousine-mhev
Peugeot e-2008 Elektrisch ,"€ 504,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/e-2008-ev
Audi A3 Sportback ,"€ 504,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/audi/a3-sportback
Peugeot 308 SW ,"€ 509,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/308-sw
Audi Q2 ,"€ 509,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/audi/q2
Renault Arkana Hybrid ,"€ 509,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/renault/arkana-hybrid
BYD ATTO 3 Elektrisch ,"€ 509,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/byd/atto-3-ev
Abarth 500e Elektrisch ,"€ 509,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/abarth/500e-ev
Jeep Renegade MHEV ,"€ 509,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/jeep/renegade-mhev
Volkswagen T-Roc ,"€ 509,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volkswagen/t-roc
Ford Kuga PHEV ,"€ 509,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/ford/kuga-phev
Audi A3 Sportback MHEV ,"€ 514,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/audi/a3-sportback-mhev
Mazda MX-5 Roadster ,"€ 514,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mazda/mx-5-roadster
Hyundai KONA Electric Elektrisch ,"€ 514,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/kona-electric-ev
BMW 1 Serie ,"€ 514,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/bmw/1-serie
DS 3 Elektrisch ,"€ 519,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/ds/3-ev
Kia Niro EV Elektrisch ,"€ 519,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/kia/niro-ev-ev
Kia Ceed Sportswagon PHEV ,"€ 524,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/kia/ceed-sportswagon-phev
Abarth 500e Cabrio Elektrisch ,"€ 524,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/abarth/500e-cabrio-ev
Skoda Karoq ,"€ 524,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/skoda/karoq
Mercedes-Benz B-Klasse ,"€ 529,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=H713RB&condition=occasion
Renault Grand Scénic ,"€ 529,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=P598TT&condition=occasion
Hyundai Tucson MHEV ,"€ 529,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=P616NV&condition=occasion
Renault Austral MHEV ,"€ 534,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/renault/austral-mhev
Tesla Model S Elektrisch ,"€ 539,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/productgroep=tesla_model-s_elektriciteit
Volkswagen Golf MHEV ,"€ 539,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volkswagen/golf-mhev
Opel Grandland ,"€ 544,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/opel/grandland
Mazda MX-30 PHEV ,"€ 544,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mazda/mx-30-phev
Mitsubishi ASX PHEV ,"€ 544,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mitsubishi/asx-phev
Mazda 6 Sportbreak ,"€ 549,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/productgroep=mazda_6-sportbreak_benzine
Mitsubishi Eclipse Cross PHEV ,"€ 549,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mitsubishi/eclipse-cross-phev
Cupra Born Elektrisch ,"€ 549,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/cupra/born-ev
DS 4 ,"€ 549,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/ds/4
Mini Cooper S ,"€ 549,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mini/cooper-s
Toyota Corolla Cross Hybrid ,"€ 554,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/toyota/corolla-cross-hybrid
Opel Astra PHEV ,"€ 559,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/opel/astra-phev
BMW 2 Serie Gran Coupé ,"€ 559,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/bmw/2-serie-gran-coupe
Mazda CX-5 MHEV ,"€ 569,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mazda/cx-5-mhev
Kia EV6 Elektrisch ,"€ 569,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/kia/ev6-ev
Volkswagen Golf Variant MHEV ,"€ 569,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volkswagen/golf-variant-mhev
Lynk & Co 01 PHEV ,"€ 574,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/lynk--co/01-phev
Hyundai Tucson MHEV ,"€ 574,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/tucson-mhev
Opel Astra Sports Tourer PHEV ,"€ 579,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/opel/astra-sports-tourer-phev
Mercedes-Benz A-Klasse Limousine MHEV ,"€ 579,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mercedes-benz/a-klasse-limousine-mhev
Kia Niro PHEV ,"€ 579,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/kia/niro-phev
Renault Austral Hybrid ,"€ 584,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/renault/austral-hybrid
Mercedes-Benz A-klasse hatchback MHEV ,"€ 584,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mercedes-benz/a-klasse-hatchback-mhev
Peugeot e-308 Elektrisch ,"€ 584,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/e-308-ev
Peugeot 3008 ,"€ 589,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/3008
Mini Clubman ,"€ 589,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mini/clubman
Peugeot 508 SW ,"€ 599,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=R998KJ&condition=occasion
Volvo V60 MHEV ,"€ 599,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/productgroep=volvo_v60_benzine
Peugeot e-308 SW Elektrisch ,"€ 599,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/e-308-sw-ev
DS 4 PHEV ,"€ 599,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/ds/4-phev
Skoda Enyaq Elektrisch ,"€ 599,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/skoda/enyaq-ev
Peugeot 408 ,"€ 599,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/408
Toyota Prius PHEV ,"€ 599,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/toyota/prius-phev
BMW 2 Serie Active Tourer ,"€ 604,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/bmw/2-serie-active-tourer
Kia ProCeed ,"€ 609,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=R066HN&condition=occasion
Peugeot 308 SW PHEV ,"€ 609,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/308-sw-phev
Peugeot 308 PHEV ,"€ 614,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/308-phev
Citroen C5 Aircross PHEV ,"€ 614,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/citroen/c5-aircross-phev
Seat Tarraco ,"€ 619,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=S591TG&condition=occasion
Peugeot 5008 ,"€ 619,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/5008
Opel Grandland PHEV ,"€ 619,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/opel/grandland-phev
Jeep Renegade PHEV ,"€ 619,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/jeep/renegade-phev
Jeep Compass MHEV ,"€ 619,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/jeep/compass-mhev
Toyota bZ4X Elektrisch ,"€ 619,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/toyota/bz4x-ev
Mercedes-Benz A-Klasse Limousine PHEV ,"€ 624,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mercedes-benz/a-klasse-limousine-phev
Seat Tarraco ,"€ 624,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/seat/tarraco
Mercedes-Benz A-klasse hatchback PHEV ,"€ 629,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mercedes-benz/a-klasse-hatchback-phev
Hyundai Tucson PHEV ,"€ 629,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/tucson-phev
Skoda Enyaq Coupe Elektrisch ,"€ 629,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/skoda/enyaq-coupe-ev
Zeekr X Elektrisch ,"€ 629,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/zeekr/x-ev
Volkswagen Tiguan ,"€ 629,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volkswagen/tiguan
Kia Sportage Hybrid ,"€ 639,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=T689SK&condition=occasion
Mercedes-Benz EQA Elektrisch ,"€ 639,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mercedes-benz/eqa-ev
Mercedes-Benz B-Klasse MHEV ,"€ 639,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mercedes-benz/b-klasse-mhev
Nissan QASHQAI Hybrid Hybrid ,"€ 639,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/nissan/qashqai-hybrid-hybrid
Cupra Leon PHEV ,"€ 639,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/cupra/leon-phev
Volvo XC40 Recharge Elektrisch ,"€ 649,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volvo/xc40-recharge-ev
Mazda 6 ,"€ 649,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mazda/6
Alfa Romeo Tonale MHEV ,"€ 649,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/alfa-romeo/tonale-mhev
Mercedes-Benz B-Klasse PHEV ,"€ 649,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mercedes-benz/b-klasse-phev
Ford Mustang Mach-E Elektrisch ,"€ 649,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/ford/mustang-mach-e-ev
Mercedes-Benz CLA Coupe MHEV ,"€ 649,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mercedes-benz/cla-coupe-mhev
Nissan Ariya Elektrisch ,"€ 649,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/nissan/ariya-ev
Volvo XC40 ,"€ 659,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=ZV178Z&condition=occasion
Lexus UX 250h Hybrid ,"€ 659,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/lexus/ux-250h-hybrid
